Kraftwerksnummer Bundesnetzagentur;Unternehmen;Kraftwerksname;"PLZ
(Standort Kraftwerk)";"Ort
(Standort Kraftwerk)";Strasse und Hausnummer (Standort Kraftwerk);Bundesland;Blockname;Datum der Aufnahme der kommerziellen Stromeinspeisung der Erzeugungseinheit [Datum/jahr];Kraftwerksstatus (in Betrieb/vorlaeufig stillgelegt/saisonale KonservierungReservekraftwerk/Sonderfall);Energietraeger;"Spezifizierung ""Mehrere Energietraeger"" und ""Sonstige Energietraeger"" - Hauptbrennstoff";"Spezifizierung ""Mehrere Energietraeger"" - Zusatz- / Ersatzbrennstoffe";"Auswertung
Energietraeger (Zuordnung zu einem Hauptenergietraeger bei Mehreren Energietraegern)";"Foerderberechtigt nach EEG
(ja/nein)";"Waermeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung (elektrische Wirkleistung) in MW;Bezeichnung Verknuepfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemaess Netzbetreiber;Netz- oder Umspannebene des Anschlusses;Name Stromnetzbetreiber
BNA0085a;Vattenfall Waerme Berlin AG;Moabit;13353;Berlin;Friedrich-Krause-Ufer 10- 15;Berlin;Moabit A;27.02.1990;in Betrieb;Mehrere Energietraeger;Steinkohle;Holz;Steinkohle;Nein;Ja;89,00 ;Moabit;Hochspannung (HS);Stromnetz Berlin GmbH
BNA1082;WSW Energie & Wasser AG;HKW Barmen;42275;Wuppertal;;Nordrhein-Westfalen;Block 1;30.12.2005;In Betrieb;Erdgas;;;Erdgas;Nein;Ja;88,00 ;;USp. Hoch- / Mittelspannung (HS/MS);WSW Netz GmbH 
BNA0759;Uniper Kraftwerke GmbH;Itzehoe;25588;Oldendorf;;Schleswig-Holstein;;01.01.1972;in Betrieb;Mineraloelprodukte;;;Mineraloelprodukte;Nein;Nein;88,00 ;Itzehoe-West;Hochspannung (HS);Schleswig-Holstein Netz AG
BNA0616b;BASF SE;Kraftwerk Nord;67056;Ludwigshafen;S 300;Rheinland-Pfalz;"S 300
VT 1, VT 2, NT 7";11.05.1964;in Betrieb;Mehrere Energietraeger;gasfoermig;fluessig, Erdgas, (Oel);"Sonstige Energietraeger
(nicht erneuerbar)";Nein;Ja;87,50 ;W211;Hoechstspannung (HoeS);Amprion GmbH
BNA0766;Uniper Kraftwerke GmbH;Audorf;24783;Osterroenfeld;;Schleswig-Holstein;;01.01.1973;in Betrieb;Mineraloelprodukte;;;Mineraloelprodukte;Nein;Nein;87,00 ;Audorf;Hochspannung (HS);Schleswig-Holstein Netz AG
BNA0784;Innwerk AG;Passau-Ingling;94036;Passau;Innstrasse 121;Bayern;Passau-Ingling;17.07.1965;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;86,40 ;Schaltanlage vor Ort;Hochspannung (HS);APG/Bayernwerk AG
BNA0222;Stadtwerke Duesseldorf AG;GT;40233;Duesseldorf;Behrenstrasse 85;Nordrhein-Westfalen;GTKW;03.08.1972;in Betrieb;Mineraloelprodukte;;;Mineraloelprodukte;Nein;Nein;86,20 ;U50;Hochspannung (HS);Netzgesellschaft Duesseldorf mbH 
BNA1672;EnBW Energie Baden-Wuerttemberg AG;Walgauwerk;A-06710;Nenzing;Eichholz 1;Oesterreich;;01.09.1984;Wegfall Istwertschaltung nach DE;Speicherwasser (ohne Pumpspeicher);;;Speicherwasser (ohne Pumpspeicher);Nein;Nein;86,00 ;Buers / Werben;Hoechstspannung (HoeS);Transnet BW GmbH
BNA0499;Infraserv GmbH & Co. Hoechst KG;Heizkraftwerk;65926;Industriepark Hoechst;;Hessen;Block A;26.11.2003;Sonderfall;Erdgas;;;Erdgas;Nein;Ja;86,00 ;FWH O/W;Hochspannung (HS);Infraserv GmbH & Co. Hoechst KG
BNA0141;swb Erzeugung AG & Co. KG;KW Mittelsbueren;28237;Bremen;Auf den Delben 35;Bremen;GT 3;01.01.1975;in Betrieb;Mineraloelprodukte;Oel;;Mineraloelprodukte;Nein;Nein;86,00 ;DE0072032823700000000000000731877;Hochspannung (HS);Wesernetz Bremen GmbH
BNA0028b;;;39596;Arneburg;;Sachsen-Anhalt;;01.01.2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;85,50 ;;Mittelspannung (MS);Avacon AG
;EEG-Anlagen < 10 MW;;;;;Nordrhein-Westfalen;;01.01.1990;in Betrieb;Grubengas;;;Grubengas;Ja;;85,50 ;;;
BNA0950;VERBUND-Innkraftwerke GmbH;Toeging;84513;Toeging;Werkstr. 18;Bayern;;01.07.1924;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;85,30 ;UW Toeging;Hochspannung (HS);Bayernwerk AG
BNA1115;Aktien-Gesellschaft der Dillinger Huettenwerke, ROGESA Roheisengesellschaft Saar mbH und Zentralkokerei Saar GmbH, als Bruchteilsgemeinschaft  ;Gichtgaskraftwerk Dillingen;66763;Dillingen/Saar;Werkstrasse 1;Saarland;;20.10.2010;in Betrieb;Sonstige Energietraeger;Hochofengas;Koksgas/ Erdgas;"Sonstige Energietraeger
(nicht erneuerbar)";Nein;ja;85,00 ;;Mittelspannung (MS);Amprion GmbH
BNA1084;WSW Energie & Wasser AG;HKW Elberfeld ;42117;Wuppertal;;Nordrhein-Westfalen;Block 3;01.01.1992;Endgueltig Stillgelegt 2019 (mit StA);Steinkohle;;;Steinkohle;Nein;Ja;85,00 ;;Hochspannung (HS);WSW Netz GmbH 
BNA0648;EnBW Energie Baden-Wuerttemberg AG;Dampfkraftwerk Marbach am Neckar;71672;Marbach;Thomas-Alva-Edison-Ring 6;Baden-Wuerttemberg;Marbach III GT (solo);15.09.1975;gesetzlich an Stilllegung gehindert;Mineraloelprodukte;;;Mineraloelprodukte;Nein;Nein;85,00 ;Marbach;Hochspannung (HS);Netze BW GmbH
BNA1336;Henkel AG & Co. KGaA;Holthausen;40589;Duesseldorf;Henkelstr. 67;Nordrhein-Westfalen;;01.01.1948;in Betrieb;Mehrere Energietraeger;Erdgas;Fluessige Produktionsrueckstaende;Erdgas;Nein;Ja;84,00 ;SWD-Netz U47/U60;USp. Hoch- / Mittelspannung (HS/MS);Netzgesellschaft Duesseldorf mbH
BNA0042;Innwerk AG;Egglfing;94072;Bad Fuessing;Am Innwerk 13;Bayern;Egglfing;29.09.1944;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;84,00 ;Schaltanlage vor Ort;Hochspannung (HS);Bayernwerk AG
BNA1858;Mainova AG;Eggebek;24852;Eggebek;Baeckerweg (Nato Flugplatz);Schleswig-Holstein;;01.01.2011;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;Nein;83,90 ;UW Sieverstedt (Mast 41 110 kV-Freileitung Schuby-Weding);Hochspannung (HS);Schleswig-Holstein Netz AG
BNA0390;"Umspannwerke Druxberge GmbH & Co. KG 
c/o Windstrom GmbH";;39343;Hakenstedt;;Sachsen-Anhalt;;01.01.1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;82,70 ;;Hochspannung (HS);HSN Magdeburg GmbH
BNA1573;;Buergerwindpark im Kirchspiel Medelby;24994;Jardelund;Gemarkung 1171, Flur 1, Flurstueck 17;Schleswig-Holstein;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;82,20 ;;Hoechstspannung (HoeS);TenneT TSO GmbH
BNA0814;Energie und Wasser Potsdam GmbH;HKW Potsdam-Sued;14478;Potsdam;;Brandenburg;Gesamtanlage;01.01.1996;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;81,80 ;UW Potsdam-Sued;Hochspannung (HS);Netzgesellschaft Potsdam GmbH
BNA0018;EnBW Energie Baden-Wuerttemberg AG;Heizkraftwerk Altbach/Deizisau;73776;Altbach;Industriestrasse 11;Baden-Wuerttemberg;ALT GT C;01.01.1975;in Betrieb;Mehrere Energietraeger;Erdgas;Mineraloelprodukte;Erdgas;Nein;Nein;81,00 ;Altbach;Hochspannung (HS);Netze BW GmbH
;Nicht-EEG-Anlagen < 10 MW;;;;;ohne Zuordnung;;01.01.1990;in Betrieb;Klaergas;;;Klaergas;Nein;;80,30 ;;;
BNA0682;SWM Services GmbH;Freimann GT 2;80807;Muenchen;;Bayern;2;01.01.1990;Endgueltig Stillgelegt 2015 (mit StA);Erdgas;;;Erdgas;Nein;Nein;80,00 ;UW Freimann;Hochspannung (HS);SWM Infrastruktur GmbH
BNA0681;SWM Services GmbH;Freimann GT 1;80807;Muenchen;;Bayern;1;01.01.1990;Endgueltig Stillgelegt 2015 (mit StA);Erdgas;;;Erdgas;Nein;Ja;80,00 ;UW Freimann;Hochspannung (HS);SWM Infrastruktur GmbH
BNA0882;Vattenfall Wasserkraft GmbH;Bleiloch;07907;Schleiz;Graefenwarth;Thueringen;PSS A;01.12.1932;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;Nein;79,80 ;Remptendorf;Hochspannung (HS);TEN Thueringer Energienetze GmbH
BNA1031;Vattenfall Wasserkraft GmbH;Wendefurth;38889;Wendefurth;Hangstrasse;Sachsen-Anhalt;PSS A;01.11.1967;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;Nein;79,70 ;Huettenrode;Hochspannung (HS);HSN Magdeburg GmbH
BNA0683a;SWM Services GmbH;Sued DT1;81371;Muenchen;;Bayern;1;08.10.1980;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;79,70 ;Schaltstelle Isartalstrasse;Hochspannung (HS);SWM Infrastruktur GmbH
BNA0010a;Rheinkraftwerk Albbruck-Dogern AG;RADAG;79774;Albbruck;Kraftwerkstrasse 34;Baden-Wuerttemberg;;01.01.1934;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;79,50 ;Tiengen;Hochspannung (HS);Amprion GmbH
BNA0505;TIWAG-Tiroler Wasserkraft AG;KW Jenbach;A-6200;Jenbach;;Oesterreich;Jenbach;19.09.1927;Wegfall Istwertschaltung nach DE;Speicherwasser (ohne Pumpspeicher);;;Speicherwasser (ohne Pumpspeicher);Nein;Nein;79,00 ;UW Jenbach;Hochspannung (HS);TIWAG-Netz AG/APG bzw. Tennet
BNA1819;Stadtwerke Flensburg GmbH;Heizkraftwerk FL;24939;Flensburg;Batteriestr. 48;Schleswig-Holstein;Block 12;01.10.2016;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;78,00 ;;Mittelspannung (MS);Stadtwerke Flensburg GmbH 
BNA0520;Stora Enso Maxau GmbH;Stora Enso Maxau;76187;Karlsruhe;;Baden-Wuerttemberg;;27.10.2010;in Betrieb;Mehrere Energietraeger;Biomasse ;Steinkohle (bei zu feuchter Biomasse), Schlaemme, Ersatzbrennstoff, Erdgas i.d.R. zur Stuetzfeuerung;Biomasse;Nein;Ja;78,00 ;DE00032776187ES000125501100010000;Hochspannung (HS);Stadtwerke Karlsruhe Netzservice GmbH
BNA0059b;Volkswagen AG;GuD Baunatal, VW Werksgelaende;34225;Baunatal;;Hessen;;29.12.2011;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;78,00 ;UW Rengershausen;Hochspannung (HS);Avacon AG
BNA0659;Evonik Operations GmbH;Kraftwerk III;45772;Marl;Paul-Baumann-Str. 1;Nordrhein-Westfalen;Block 312;01.01.1974;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;77,60 ;;Hochspannung (HS);CPM Netz GmbH
BNA0647;EnBW Energie Baden-Wuerttemberg AG;Dampfkraftwerk Marbach am Neckar;71672;Marbach;Thomas-Alva-Edison-Ring 6;Baden-Wuerttemberg;Marbach II GT;03.03.1971;gesetzlich an Stilllegung gehindert;Mineraloelprodukte;;;Mineraloelprodukte;Nein;Nein;77,40 ;Marbach;Hochspannung (HS);Netze BW GmbH
BNA1548;Denker & Wulf AG;Windpark Dahme;15926;Kemlitz;;Brandenburg;;01.01.2003;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;76,50 ;UW Kemlitz;Hochspannung (HS);Mitteldeutsche Netzgesellschaft Strom mbH
BNA0256a;SWE Energie GmbH;HKW Erfurt-Ost;99087;Erfurt;;Thueringen;GT1;17.12.1999;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;76,50 ;UW Erfurt-Ost;Hochspannung (HS);SWE Netz GmbH (Erfurt)
BNA1248b;UPM GmbH;HKW3 UPM Schongau;86956;Schongau;Friedrich-Haindl-Strasse 10;Bayern;HKW 3;20.12.2014;in Betrieb;Erdgas;;;Erdgas;Nein;ja;76,00 ;;Hochspannung (HS);LEW Verteilnetz GmbH
BNA0543;RheinEnergie AG;HKW Merkenich;50769;Koeln;;Nordrhein-Westfalen;Block 6;16.12.2010;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;75,30 ;UW Merkenich;Hochspannung (HS);Rheinische NETZGesellschaft mbH 
BNA0971;ENERTRAG Aktiengesellschaft;UW Osterweddingen;39171;Osterweddingen;"Gemarkung Osterweddingen 
Flur 8, Flurstueck 5/1";Sachsen-Anhalt;UW Osterweddingen;01.01.2005;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;75,00 ;UW Osterweddingen;Hochspannung (HS);Avacon AG
BNA0743;N-ERGIE AG;HKW Sandreuth;90441;Nuernberg;Sandreuthstr. 51;Bayern;GuD 2;05.01.2005;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;75,00 ;U36 Sandreuth;Hochspannung (HS);Main-Donau Netzgesellschaft
BNA0742;N-ERGIE AG;HKW Sandreuth;90441;Nuernberg;Sandreuthstr. 51;Bayern;GuD 1;05.01.2005;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;75,00 ;U36 Sandreuth;Hochspannung (HS);Main-Donau Netzgesellschaft
BNA0688;Neubrandenburger Stadtwerke GmbH;GuD-HKW Neubrandenburg;17034;Neubrandenburg;;Mecklenburg-Vorpommern;;16.05.1997;in Betrieb;Mehrere Energietraeger;Erdgas;HEL;Erdgas;Nein;Ja;75,00 ;UW Warliner Strasse;;E.DIS AG und Neubrandenburger Stadtwerke GmbH
BNA0861a;Energie SaarLorLux AG;HKW Roemerbruecke;66121;Saarbruecken;;Saarland;GuD-Anlage;01.06.2005;in Betrieb;Mehrere Energietraeger;Erdgas;HEL (teilweise);Erdgas;Nein;Ja;74,00 ;UW Roemerbruecke;Hochspannung (HS);"Stadtwerke Saarbruecken AG /
VSE Verteilnetz GmbH"
BNA0343;Energieversorgung Gera GmbH;Heizkraftwerk Gera-Nord;07546;Gera;Siemensstrasse 45;Thueringen;;18.06.1996;Endgueltig Stillgelegt 2019 (mit StA);Erdgas;;;Erdgas;Nein;Ja;74,00 ;;Hochspannung (HS);GeraNetz GmbH 
BNA0183;Stadtwerke Cottbus mbH;HKW Cottbus;03052;Cottbus;;Brandenburg;1;16.12.1999;in Betrieb;Mehrere Energietraeger;Wirbelschichtbraunkohle;Erdgas, Heizoel;Braunkohle;Nein;Ja;74,00 ;SWC / NA 1 und NA 2;Hochspannung (HS);Mitteldeutsche Netzgesellschaft Strom mbH
BNA0136;Braunschweiger Versorgungs-AG & Co. KG;HKW-Mitte;38106;Braunschweig;;Niedersachsen;GuD;30.12.2010;in Betrieb;Mehrere Energietraeger;Erdgas;Heizoel L;Erdgas;Nein;Ja;74,00 ;UW Hasenwinkel 3/7;Hochspannung (HS);Braunschweiger Netz GmbH
BNA0174;InfraServ GmbH & Co. Gendorf KG;Industriepark Werk Gendorf;84508;Burgkirchen;;Bayern;;19.07.2002;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;73,10 ;UW Gendorf;USp. Hoch- / Mittelspannung (HS/MS);InfraServ GmbH & Co. Gendorf KG
BNA0259;Innwerk AG;Ering;94140;Ering;Innwerkstrasse 38;Bayern;Ering;04.08.1942;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;72,50 ;Schaltanlage vor Ort;Hochspannung (HS);Bayernwerk AG
BNA0336;Uniper Kraftwerke GmbH;FWK Buer;45896;Gelsenkirchen;;Nordrhein-Westfalen;;01.01.1985;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;70,00 ;Scholven;Mittelspannung (MS);Amprion GmbH
BNA0285;Mainova AG;HKW Niederrad;60528;Frankfurt am Main;Lyoner Strasse  8;Hessen;Block 1;01.01.2004;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;70,00 ;UW Goldsteinstrasse;Hochspannung (HS);NRM Netzdienste Rhein-Main GmbH
BNA1781;;Buergerwindpark Eider;25779;Norderheistedt;Flur 2 Flurstueck 3;Schleswig-Holstein;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;69,30 ;;;
;EEG-Anlagen < 10 MW;;;;;Niedersachsen;;01.01.1990;in Betrieb;Laufwasser;;;Laufwasser;Ja;;69,20 ;;;
BNA0444;K+S AG;Wintershall;36266;Heringen;;Hessen;Wintershall;20.05.2009;in Betrieb;Erdgas;Erdgas;Dampf von extern aus Abfall;Erdgas;Nein;Ja;69,00 ;UW Philippsthal;Hochspannung (HS);Avacon Netz GmbH
BNA0662a;Evonik Operations GmbH;Kraftwerk I ;45772;Marl;Paul-Baumann-Str. 1;Nordrhein-Westfalen;Block 5 ;15.10.1983;in Betrieb;Mehrere Energietraeger;Steinkohle;Abfaelle, Erdgas;Steinkohle;Nein;Ja;68,40 ;;Hochspannung (HS);CPM Netz GmbH
BNA0550;EEV Erneuerbare Energien Verwaltungs GmbH Dresden;UW Koerbelitz Wind;39175;Koerbelitz;;Sachsen-Anhalt;;01.01.2008;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;68,00 ;UW Koerbelitz Wind;Hochspannung (HS);HSN Magdeburg GmbH
BNA0196;Mitteldeutsche Braunkohlengesellschaft mbH;Deuben;06682;Teuchern;;Sachsen-Anhalt;;09.10.1936;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;67,00 ;Schaltanlage Zwenkau;Hochspannung (HS);Mitteldeutsche Netzgesellschaft Strom mbH
BNA0221b;Stadtwerke Duesseldorf AG;GT;40221;Duesseldorf;Auf der Lausward 75;Nordrhein-Westfalen;Block E GTE1;19.11.1974;in Betrieb;Erdgas;;;Erdgas;Nein;Nein;66,70 ;U71;Hochspannung (HS);Netzgesellschaft Duesseldorf mbH 
BNA1623;innogy SE;Windpark Koenigshovener Hoehe;50181;Bedburg/Koenigshofen;;Nordrhein-Westfalen;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;66,60 ;;Hoechstspannung (HoeS);Amprion GmbH
BNA1014;GENERALRENEWABLES GMBH & CO. KG;Windpark Dardesheim-Druiberg;38871;Wasserleben;;Sachsen-Anhalt;;01.01.2004;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;66,60 ;UW Wasserleben Wind;Hochspannung (HS);HSN Magdeburg GmbH
BNA1991;Lausitz Energie Kraftwerke AG;BigBattery Lausitz;03130;Spremberg;An der alten Ziegelei 1;Brandenburg;BigBattery Lausitz;19.11.2020;in Betrieb;Batteriespeicher;;;Batteriespeicher;Nein;;66,00 ;;HS;
BNA1509;BP Europa SE;BP Werk Lingen;49808;Lingen;Raffineriestrasse;Niedersachsen;;01.01.1996;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;66,00 ;Station Holthausen;Hochspannung (HS);Westnetz GmbH
BNA0498;Infraserv GmbH & Co. Hoechst KG;Heizkraftwerk;65926;Industriepark Hoechst;;Hessen;Block B;21.08.1989;Kohlestromvermarktungsverbot;Mehrere Energietraeger;Steinkohle;Erdgas, Restgase;Steinkohle;Nein;Ja;66,00 ;FWH O/W;Mittelspannung (MS);Infraserv GmbH & Co. Hoechst KG
BNA0364;Innwerk AG;Jochenstein;94107;Griesbach;Am Kraftwerk 2;Bayern;Jochenstein;13.04.1955;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;66,00 ;Schaltanlage vor Ort;Hoechstspannung (HoeS);Bayernwerk AG
;EEG-Anlagen < 10 MW;;;;;Hessen;;01.01.1990;in Betrieb;Laufwasser;;;Laufwasser;Ja;;66,00 ;;;
BNA0810;Uniper Kraftwerke GmbH ;Kraftwerk Veltheim;32457;Porta Westfalica;;Nordrhein-Westfalen;4 GT;01.01.1974;Endgueltig Stillgelegt 2015 (mit StA);Mehrere Energietraeger;Erdgas, Heizoel EL ( 100 % );;Erdgas;Nein;Nein;65,00 ;UW - Veltheim;Hochspannung (HS);Netz Veltheim GmbH
BNA0015;EnBW Energie Baden-Wuerttemberg AG;Heizkraftwerk Altbach/Deizisau;73776;Altbach;Industriestrasse 11;Baden-Wuerttemberg;ALT GT E (solo);01.01.1997;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;65,00 ;Altbach;Hochspannung (HS);Netze BW GmbH
BNA0221a;Stadtwerke Duesseldorf AG;GT;40221;Duesseldorf;Auf der Lausward 75;Nordrhein-Westfalen;Block E GTE2;21.02.1975;in Betrieb;Erdgas;;;Erdgas;Nein;Nein;64,70 ;U71;Hochspannung (HS);Netzgesellschaft Duesseldorf mbH 
BNA0613;ENERTRAG Aktiengesellschaft;UW Louisfelde;17335;Louisfelde;"Gemarkung Strassburg, 
Flur 1, Flurstueck 144/2";Mecklenburg-Vorpommern;UW Louisfelde;01.01.2006;in Betrieb;Windenergie (Onshore-Anlage);;Biogas;Windenergie (Onshore-Anlage);Ja;;64,60 ;UW Louisfelde;Hochspannung (HS);E.DIS AG
BNA1248a;UPM GmbH;UPM Schongau;86956;Schongau;Friedrich-Haindl-Strasse 10;Bayern;Dampfkraftwerk;23.01.1954;Gesetzlich an Stilllegung gehindert;Erdgas;;;Erdgas;Nein;Ja;64,00 ;UW UPM/Haindl;Hochspannung (HS);LEW Verteilnetz GmbH
BNA1335a;Papier- u. Kartonfabrik Varel GmbH & Co. KG;PKV Kraftwerk;26316;Varel;Dangaster Strasse 38;Niedersachsen;KWK-Bloecke;01.01.1989;in Betrieb;Erdgas;Erdgas L;;Erdgas;Nein;Ja;63,90 ;MaLo 50355786368;Mittelspannung (MS);EWE NETZ GmbH
BNA0952;EEV Erneuerbare Energien Verwaltungs GmbH Dresden;;99958;Tonna;;Thueringen;;01.01.2006;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;63,50 ;UW Graefentonna Trafo 102;Hochspannung (HS);TEN Thueringer Energienetze GmbH
BNA0164;Vattenfall Europe Nuclear Energy GmbH;Brunsbuettel;25541;Brunsbuettel;Otto Hahn Str. 76;Schleswig-Holstein;GT D;01.01.1990;Endgueltig Stillgelegt 2017 (mit StA);Mineraloelprodukte;;;Mineraloelprodukte;Nein;Nein;63,50 ;Brunsbuettel;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0163;Vattenfall Europe Nuclear Energy GmbH;Brunsbuettel;25541;Brunsbuettel;Otto Hahn Str. 76;Schleswig-Holstein;GT C;01.01.1990;Endgueltig Stillgelegt 2017 (mit StA);Mineraloelprodukte;;;Mineraloelprodukte;Nein;Nein;63,50 ;Brunsbuettel;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0162;Vattenfall Europe Nuclear Energy GmbH;Brunsbuettel;25541;Brunsbuettel;Otto Hahn Str. 76;Schleswig-Holstein;GT B;01.01.1990;Endgueltig Stillgelegt 2017 (mit StA);Mineraloelprodukte;;;Mineraloelprodukte;Nein;Nein;63,50 ;Brunsbuettel;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0161;Vattenfall Europe Nuclear Energy GmbH;Brunsbuettel;25541;Brunsbuettel;Otto Hahn Str. 76;Schleswig-Holstein;GT A;01.01.1990;Endgueltig Stillgelegt 2017 (mit StA);Mineraloelprodukte;;;Mineraloelprodukte;Nein;Nein;63,50 ;Brunsbuettel;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA1617;;Windpark Klein Leine;15913;Schwielochsee OT Siegadel;;Brandenburg;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;62,70 ;;Hochspannung (HS);Mitteldeutsche Netzgesellschaft Strom mbH
BNA0951;;;99958;Tonna;;Thueringen;;01.01.1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;62,00 ;;Hochspannung (HS);TEN Thueringer Energienetze GmbH
BNA0887d;Windpark Jaenickendorfer Heide GmbH & Co. KG;Windpark Heidehof;14913;Jaenickendorf;;Brandenburg;;23.10.2006;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;nein;62,00 ;UW Schoenewalde;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0808;innogy SE;RWE Innogy Brise Windparkbetriebsgesellschaft mbH;16949;Porep;;Brandenburg;Putlitz;01.01.2004;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;62,00 ;UW Putlitz;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA1075b;Volkswagen AG;HKW Nord;38436;Wolfsburg;;Niedersachsen;Generator B;01.05.2000;in Betrieb;Mehrere Energietraeger;Steinkohle;Erdgas, Mineraloel;Steinkohle;Nein;Ja;61,50 ;UW Ost;50;VW Kraftwerk GmbH
BNA1075a;Volkswagen AG;HKW Nord;38436;Wolfsburg;;Niedersachsen;Generator A;01.05.2000;in Betrieb;Mehrere Energietraeger;Steinkohle;Erdgas, Mineraloel;Steinkohle;Nein;Ja;61,50 ;UW West;50;VW Kraftwerk GmbH
BNA0290;Mainova AG;HKW West;60327;Frankfurt am Main;Gutleutstrasse 231;Hessen;Block 3;01.01.1989;in Betrieb;Mehrere Energietraeger;Steinkohle;Mineraloelprodukte;Steinkohle;Nein;Ja;61,50 ;UW Gutleutstrasse;Hochspannung (HS);NRM Netzdienste Rhein-Main GmbH
BNA0289b;Mainova AG;HKW West;60327;Frankfurt am Main;Gutleutstrasse 231;Hessen;Block 2;01.01.1988;in Betrieb;Mehrere Energietraeger;Steinkohle;Mineraloelprodukte;Steinkohle;Nein;Ja;61,50 ;UW Gutleutstrasse;Hochspannung (HS);NRM Netzdienste Rhein-Main GmbH
BNA0658;Evonik Operations GmbH;Kraftwerk III;45772;Marl;Paul-Baumann-Str. 1;Nordrhein-Westfalen;Block 311;22.11.1973;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;61,10 ;;Hochspannung (HS);CPM Netz GmbH
BNA1676;Evonik Operations GmbH;Kraftwerk IV;45772;Marl;Paul-Baumann-Str. 1;Nordrhein-Westfalen;1;13.02.2016;In Betrieb;Erdgas;;;Erdgas;nein;ja;60,80 ;DE007586457720000000S097220018F01;Hochspannung (HS);CPM Netz GmbH
BNA1484;EEV Erneuerbare Energien Verwaltungs GmbH Dresden;UW Langensalza II;99947;Bad Langensalza;;Thueringen;;13.03.2012;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;60,50 ;UW Bad Langensalza Trafo 105;Hochspannung (HS);TEN Thueringer Energienetze GmbH
BNA0661;Evonik Operations GmbH;Kraftwerk II;45772;Marl;Paul-Baumann-Str. 1;Nordrhein-Westfalen;Block 3;01.01.1966;Endgueltig Stillgelegt 2017 (mit StA);Steinkohle;;;Steinkohle;Nein;Ja;60,40 ;;Hochspannung (HS);CPM Netz GmbH
BNA1083;WSW Energie & Wasser AG;Spitzenlastanlage Barmen;42275;Wuppertal;;Nordrhein-Westfalen;Block 2;09.07.2008;in Betrieb;Mineraloelprodukte;;;Mineraloelprodukte;Nein;Nein;60,00 ;;USp. Hoch- / Mittelspannung (HS/MS);WSW Netz GmbH 
